s_m,x_m,y_m,z_m,yaw_rad,curvature_1pm
2247.290255,1517.864097,294.680036,0.000000,0.713219,0.017679
2249.184799,1519.296864,295.919581,0.000000,0.743950,0.016009
2251.104402,1520.709308,297.219535,0.000000,0.771740,0.014244
2253.055473,1522.107637,298.580180,0.000000,0.796490,0.012446
2255.044009,1523.498062,300.001797,0.000000,0.818170,0.010671
2257.075631,1524.886793,301.484669,0.000000,0.836809,0.008961
2259.155617,1526.280041,303.029079,0.000000,0.852487,0.007349
2261.288952,1527.684016,304.635309,0.000000,0.875535,0.005252
2265.677647,1530.495353,308.005328,0.000000,0.883152,0.000892
2274.214481,1535.913842,314.602108,0.000000,0.885559,0.000197
2286.439339,1543.650429,324.067434,0.000000,0.886702,0.000074
2301.891970,1553.416055,336.043090,0.000000,0.887338,0.000035
2320.112097,1564.921666,350.170862,0.000000,0.887717,0.000018
2340.639432,1577.878204,366.092533,0.000000,0.887940,0.000010
2363.013686,1591.996613,383.449888,0.000000,0.888057,0.000005
2386.774569,1606.987837,401.884713,0.000000,0.888093,0.000001
2411.461788,1622.562819,421.038790,0.000000,0.888059,-0.000001
2436.615050,1638.432503,440.553907,0.000000,0.887955,-0.000004
2461.774065,1654.307833,460.071845,0.000000,0.887778,-0.000007
2486.478541,1669.899752,479.234392,0.000000,0.887511,-0.000011
2510.268187,1684.919204,497.683330,0.000000,0.887129,-0.000017
2532.682716,1699.077133,515.060445,0.000000,0.886581,-0.000027
2553.261840,1712.084481,531.007522,0.000000,0.885777,-0.000044
2571.545281,1723.652194,545.166344,0.000000,0.884532,-0.000080
2587.072771,1733.491213,557.178697,0.000000,0.882410,-0.000172
2599.384068,1741.312484,566.686365,0.000000,0.878090,-0.000500
2608.019013,1746.826950,573.331134,0.000000,0.864863,-0.002940
2612.517862,1749.745553,576.754786,0.000000,0.880882,0.005292
2615.544894,1751.672173,579.089537,0.000000,0.993045,0.038097
2618.489045,1753.280096,581.555832,0.000000,1.102436,0.038045
2621.364345,1754.578074,584.121489,0.000000,1.208877,0.037809
2624.179558,1755.574857,586.754330,0.000000,1.312675,0.037618
2626.938812,1756.279197,589.422174,0.000000,1.414574,0.037690
2629.642403,1756.699843,592.092840,0.000000,1.515688,0.038224
2632.287728,1756.845548,594.734149,0.000000,1.617467,0.039410
2634.870312,1756.725061,597.313921,0.000000,1.721660,0.041435
2637.384928,1756.347132,599.799975,0.000000,1.830308,0.044493
2639.826851,1755.720514,602.160131,0.000000,1.945702,0.048763
2642.193299,1754.853957,604.362210,0.000000,2.070292,0.054363
2644.485125,1753.756211,606.374031,0.000000,2.206435,0.061224
2646.708811,1752.436027,608.163415,0.000000,2.355903,0.068884
2648.878665,1750.902155,609.698180,0.000000,2.519077,0.076239
2651.018962,1749.163348,610.946147,0.000000,2.693992,0.081491
2653.165406,1747.228354,611.875136,0.000000,2.875785,0.082645
2655.365086,1745.105926,612.452966,0.000000,3.057272,0.078589
2657.674403,1742.804813,612.647458,0.000000,-3.052384,0.069946
2660.155315,1740.333767,612.426432,0.000000,-2.892803,0.058759
2662.871161,1737.701538,611.757706,0.000000,-2.836037,0.014936
2666.671698,1734.077042,610.614419,0.000000,-2.840173,-0.000579
2673.813608,1727.257118,608.494155,0.000000,-2.841844,-0.000165
2683.959560,1717.563567,605.498253,0.000000,-2.842915,-0.000084
2696.772197,1705.318191,601.728052,0.000000,-2.843776,-0.000057
2711.914155,1690.842790,597.284893,0.000000,-2.844563,-0.000046
2729.048075,1674.459165,592.270113,0.000000,-2.845341,-0.000041
2747.836595,1656.489117,586.785052,0.000000,-2.846153,-0.000040
2767.942362,1637.254448,580.931048,0.000000,-2.847031,-0.000042
2789.028024,1617.076958,574.809442,0.000000,-2.848006,-0.000045
2810.756239,1596.278448,568.521572,0.000000,-2.849115,-0.000050
2832.789671,1575.180720,562.168777,0.000000,-2.850404,-0.000059
2854.790999,1554.105575,555.852397,0.000000,-2.851934,-0.000071
2876.422918,1533.374813,549.673770,0.000000,-2.853790,-0.000089
2897.348149,1513.310236,543.734235,0.000000,-2.856104,-0.000116
2917.229455,1494.233644,538.135133,0.000000,-2.859078,-0.000161
2935.729656,1476.466839,532.977800,0.000000,-2.863055,-0.000237
2952.511678,1460.331622,528.363578,0.000000,-2.868658,-0.000381
2967.238638,1446.149794,524.393805,0.000000,-2.877161,-0.000689
2979.574040,1434.243155,521.169819,0.000000,-2.891621,-0.001505
2989.182317,1424.933508,518.792961,0.000000,-2.900724,-0.002001
2993.732464,1420.514718,517.707541,0.000000,-2.902368,-0.000320
2998.874386,1415.519228,516.489167,0.000000,-2.903936,-0.000275
3004.579555,1409.974417,515.146024,0.000000,-2.905470,-0.000246
3010.819447,1403.907668,513.686298,0.000000,-2.906998,-0.000226
3017.565539,1397.346361,512.118177,0.000000,-2.908539,-0.000213
3024.789312,1390.317878,510.449846,0.000000,-2.910107,-0.000204
3032.462253,1382.849600,508.689490,0.000000,-2.911715,-0.000199
3040.555851,1374.968909,506.845298,0.000000,-2.913373,-0.000195
3049.041603,1366.703186,504.925453,0.000000,-2.915091,-0.000194
3057.891009,1358.079812,502.938144,0.000000,-2.916877,-0.000194
3067.075575,1349.126168,500.891555,0.000000,-2.918740,-0.000196
3076.566816,1339.869637,498.793873,0.000000,-2.920690,-0.000200
3086.336252,1330.337598,496.653285,0.000000,-2.922735,-0.000204
3096.355412,1320.557434,494.477975,0.000000,-2.924886,-0.000210
3106.595836,1310.556526,492.276132,0.000000,-2.927153,-0.000217
3117.029072,1300.362254,490.055940,0.000000,-2.929549,-0.000226
3127.626681,1290.002002,487.825586,0.000000,-2.932087,-0.000236
3138.360237,1279.503148,485.593256,0.000000,-2.934781,-0.000248
3149.201327,1268.893076,483.367136,0.000000,-2.937647,-0.000263
3160.121557,1258.199167,481.155412,0.000000,-2.942369,-0.000476
3170.047572,1248.469484,479.190967,0.000000,-2.945228,-0.000287
3179.993228,1238.714961,477.250517,0.000000,-2.947822,-0.000261
3189.938391,1228.955921,475.335471,0.000000,-2.950167,-0.000236
3199.862905,1219.212688,473.447242,0.000000,-2.952275,-0.000213
3209.746599,1209.505588,471.587242,0.000000,-2.954157,-0.000192
3219.569284,1199.854944,469.756881,0.000000,-2.955820,-0.000171
3229.310761,1190.281081,467.957571,0.000000,-2.957269,-0.000150
3238.950818,1180.804323,466.190723,0.000000,-2.958506,-0.000130
