s_m,left_x_m,left_y_m,right_x_m,right_y_m
3436.172009,987.548936,425.280425,985.547618,439.136641
3454.213256,969.660606,422.696808,967.724030,436.562220
3472.486231,951.532776,420.164970,949.657240,434.038771
3490.873490,933.281976,417.697790,931.465014,431.579384
3509.257546,915.024789,415.308166,913.265060,429.197131
3527.520874,896.877817,413.009007,895.175070,426.905073
3545.545933,878.957643,410.813230,877.312756,424.716264
3563.215174,861.380794,408.733755,859.795884,422.643753
3580.411050,844.263688,406.783500,842.742330,420.700592
3597.016037,827.722567,404.975380,826.270146,418.899836
3612.912644,811.873388,403.322303,810.497667,417.254546
3627.983441,796.831658,401.837167,795.543683,415.777795
3642.111093,782.712138,400.532858,781.527724,414.482667
3655.178415,769.628318,399.422260,768.570593,413.382247
3667.068462,757.808931,398.526822,756.677854,412.481057
3669.783854,755.201632,398.316195,753.872122,412.252924
3674.183620,750.863136,397.902443,749.450854,411.831028
3680.077238,745.022464,397.310269,743.564419,411.234138
3687.273906,737.879597,396.562316,736.392220,410.483081
3695.582749,729.628111,395.680686,728.120070,409.599228
3704.812865,720.459497,394.687292,718.935863,408.604136
3714.773337,710.564402,393.603967,709.028337,407.519444
3725.273245,700.133084,392.452505,698.586623,406.366830
3736.121661,689.355605,391.254679,687.800046,405.167991
3747.127659,678.421921,390.032255,676.858033,403.944633
3758.100308,667.521946,388.806992,665.950060,402.718468
3768.848678,656.845583,387.600649,655.265608,401.511209
3779.181839,646.582770,386.434990,644.994128,400.344563
3788.908860,636.923536,385.331790,635.324975,399.240227
3797.838811,628.058122,384.312850,626.447296,398.219871
3805.780763,620.177252,383.400028,618.549753,397.305108
3812.543790,613.472950,382.615345,611.819707,396.517388
3817.936972,608.141693,381.981390,606.440071,395.877594
3821.769413,604.405252,381.524188,602.568458,395.403172
3823.850315,602.588578,381.288231,600.259304,395.093103
3825.007424,601.712376,381.145650,598.853541,394.850651
3826.187961,600.846078,380.971377,597.408517,394.542787
3827.381283,600.008902,380.767437,595.932114,394.160711
3828.577493,599.220206,380.537863,594.432070,393.693613
3829.767665,598.499190,380.289358,592.916287,393.128019
3830.944137,597.864134,380.032042,591.393582,392.447031
3832.100912,597.330889,379.780101,589.875204,391.629689
3833.234175,596.910279,379.551817,588.377429,390.650937
3834.342943,596.604295,379.367970,586.925362,389.483219
3835.429847,596.401818,379.247119,585.557225,388.101203
3836.501959,596.276371,379.196678,584.326591,386.490699
3837.571484,596.190273,379.201527,583.298241,384.660053
3838.656027,596.108024,379.216931,582.534774,382.647223
3839.778145,596.014338,379.174368,582.078575,380.513960
3840.964089,595.924859,379.000732,581.941100,378.326592
3842.242048,595.881652,378.639134,582.107382,376.135235
3843.640436,595.938544,378.058627,582.550693,373.964061
3845.186635,596.147372,377.251309,583.246295,371.814197
3846.906352,596.551027,376.223617,584.178397,369.672431
3848.823451,597.212155,374.940680,585.311451,367.566859
3851.195085,598.324958,373.136129,586.696935,365.339394
3854.224234,599.927975,370.742571,588.467841,362.701095
3857.850196,601.954893,367.852801,590.606365,359.654576
3862.010837,604.352413,364.533464,593.081684,356.228605
3866.643405,607.072616,360.841547,595.857599,352.461607
3871.684840,610.070124,356.829797,598.895366,348.396246
3877.071917,613.300886,352.548853,602.154916,344.077292
3882.741312,616.721611,348.048198,605.595422,339.550674
3888.629639,620.289471,343.376628,609.175592,334.863010
3894.673480,623.961948,338.582486,612.853821,330.061364
3900.809392,627.696757,333.713793,616.588279,325.193129
3906.973927,631.451799,328.818302,620.336941,320.305962
3913.103635,635.185157,323.943513,624.057605,315.447775
3919.135076,638.855118,319.136640,627.707865,310.666766
3925.004833,642.420218,314.444527,631.245065,306.011499
3930.649521,645.839352,309.913491,634.626189,301.531071
3936.005811,649.071958,305.589015,637.807680,297.275409
3941.010464,652.078363,301.515163,640.745090,293.295861
3945.600380,654.820467,297.733378,643.392401,289.646394
3949.712698,657.184014,294.393295,645.779747,286.272785
3953.703244,659.509758,291.127027,648.083329,283.037731
3957.884574,661.935929,287.699932,650.489160,279.639444
3962.226953,664.445615,284.135872,652.979717,276.102617
3966.700646,667.021835,280.458789,655.537540,272.451857
3971.275912,669.647572,276.692679,658.145210,268.711723
3975.923015,672.305785,272.861561,660.785329,264.906746
3980.612216,674.979424,268.989465,663.440508,261.061451
3985.313780,677.651441,265.100412,666.093357,257.200368
3989.997973,680.304800,261.218400,668.726474,253.348053
3994.635066,682.922490,257.367382,671.322431,249.529102
3999.195335,685.487539,253.571247,673.863763,245.768182
4003.649062,687.983033,249.853782,676.332944,242.090057
4007.966541,690.392144,246.238626,678.712364,238.519640
4012.118076,692.698173,242.749194,680.984284,235.082070
4016.073992,694.884616,239.408557,683.130771,231.802827
4019.804638,696.935267,236.239237,685.133590,228.707941
4023.280403,698.834410,233.262846,686.974019,225.824355
4026.471730,700.567152,230.499387,688.632514,223.180615
4029.349158,702.120083,227.965828,690.088047,220.808307
4031.883382,703.588209,225.480503,691.211171,218.937650
4034.260862,704.940325,222.875091,692.081271,217.339324
4036.683219,706.089241,220.155470,692.848012,215.609058
4039.140717,707.036049,217.340005,693.497318,213.775910
4041.622443,707.778935,214.446138,694.018019,211.869861
4044.116940,708.313392,211.490808,694.401636,209.921394
4046.612799,708.632293,208.490744,694.642311,207.961206
4049.099221,708.725804,205.462776,694.736893,206.019888
4051.566623,708.581171,202.424317,694.685153,204.127451
4054.007291,708.182474,199.394166,694.490023,202.312521
4056.416130,707.510554,196.393808,694.157680,200.601034
4058.791521,706.543481,193.449310,693.697066,199.014348
4061.136277,705.258121,190.593677,693.118333,197.566880
4063.458653,703.633395,187.869031,692.429572,196.263931
4065.773278,701.655348,185.327238,691.631756,195.101061
4068.101802,699.322856,183.027240,690.713022,194.066749
4070.473013,696.651203,181.028311,689.645103,193.149143
4072.922213,693.670412,179.381080,688.384989,192.345041
4075.489835,690.417779,178.120577,686.882399,191.666834
4078.219568,686.927906,177.264972,685.089749,191.143775
4081.156397,683.515782,176.831290,682.679062,190.806264
4084.377578,680.144549,176.631187,679.619449,190.621336
4087.794414,676.598872,176.499337,676.336263,190.496874
4091.376022,672.904674,176.430946,672.868506,190.430899
4095.091095,669.089735,176.421802,669.253323,190.420847
4098.908039,665.183023,176.468034,665.526669,190.463816
4102.795051,661.214277,176.565973,661.723732,190.556700
4106.720189,657.213721,176.712084,657.879211,190.696258
4110.651406,653.211868,176.902931,654.027520,190.879151
4114.556584,649.239353,177.135160,650.202946,191.101960
4118.403560,645.326786,177.405497,646.439805,191.361184
4122.160152,641.504591,177.710765,642.772598,191.653224
4125.794173,637.802790,178.047923,639.236228,191.974346
4129.273467,634.250700,178.414140,635.866303,192.320608
4132.565931,630.876435,178.806937,632.699632,192.687713
4135.639571,627.706036,179.224469,629.775101,193.070731
4138.462572,624.761828,179.666143,627.135308,193.463483
4141.003426,622.059033,180.134051,624.829956,193.857097
4143.231180,619.598072,180.636844,622.923551,194.236152
4145.115955,617.344742,181.201998,621.515217,194.566396
4146.630220,615.529038,181.780064,620.439887,194.890502
4147.961658,614.130448,182.305963,619.344801,195.298673
4149.311851,612.688926,182.887700,618.280227,195.722705
4150.679867,611.212204,183.535666,617.248594,196.167451
4152.065510,609.708614,184.260559,616.251734,196.637456
